"id","ref","name","arancel_ids/id","observation"
"trade_tariff_subheading_00001","0210.93.00.00","- - De reptiles (incluidas las serpientes y tortugas de mar)","aran_008",
"trade_tariff_subheading_00002",210.99,"- - Los demás:",,
"trade_tariff_subheading_00003","0210.99.10.00","- - - Harina y polvo comestibles, de carne o de despojos","aran_008",
"trade_tariff_subheading_00004","0210.99.90.00","- - - Los demás","aran_008",
"trade_tariff_subheading_00005",3.01,"Peces vivos.",,
"trade_tariff_subheading_00006","-","- Peces ornamentales:",,
"trade_tariff_subheading_00007","0301.11.00.00","- - De agua dulce","aran_006",
"trade_tariff_subheading_00008","0301.19.00.00","- - Los demás","aran_006",
"trade_tariff_subheading_00009","-","- Los demás peces vivos:",,
"trade_tariff_subheading_00010",301.91,"- - Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus    aguabonita,    Oncorhynchus    gilae,    Oncorhynchus apache y OncorhynchusF2531B1211rysogaster) :",,
"trade_tariff_subheading_00011","0301.91.10.00","- - - Para reproducción o cría industrial","aran_001",
"trade_tariff_subheading_00012","0301.91.90.00","- - - Las demás","aran_004",
"trade_tariff_subheading_00013","0301.92.00.00","- - Anguilas (Anguilla spp .)","aran_003",
"trade_tariff_subheading_00014","0301.93.00.00","- - Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys  spp.,  Cirrhinus  spp.,  Mylopharyngodon  piceus, Catla  catla,  Labeo  spp.,  Osteochilus  hasselti,  Leptobarbus  hoeveni, Megalobrama spp. )","aran_003",
"trade_tariff_subheading_00015","0301.94.00.00","-  -  Atunes  comunes  o  de  aleta  azul,  del  Atlántico  y  del  Pacífico (Thunnus thynnus, Thunnus orientalis )","aran_004",
"trade_tariff_subheading_00016","0301.95.00.00","- - Atunes del sur (Thunnus maccoyii )","aran_004",
"trade_tariff_subheading_00017",301.99,"- - Los demás:",,
"trade_tariff_subheading_00018",,"- - - Para reproducción o cría industrial:",,
"trade_tariff_subheading_00019","0301.99.11.00","- - - - Tilapia","aran_001",
"trade_tariff_subheading_00020","0301.99.19","- - - - Los demás:",,
"trade_tariff_subheading_00021","0301.99.19.10","- - - - - Dorado (Coryphaena Hippurus )","aran_001",
"trade_tariff_subheading_00022","0301.99.19.90","- - - - - Los demás","aran_001",
"trade_tariff_subheading_00023","0301.99.90","- - - Los demás:",,
"trade_tariff_subheading_00024","0301.99.90.10","- - - - Dorado (Coryphaena Hippurus )","aran_004",
"trade_tariff_subheading_00025","0301.99.90.90","- - - - Los demás","aran_004",
"trade_tariff_subheading_00026",3.02,"Pescado  fresco  o  refrigerado,  excepto  los  filetes  y  demás  carne  de
pescado de la partida 03.04.",,
"trade_tariff_subheading_00027","-","-  Salmónidos,  excepto  los  despojos  comestibles  de  pescado  de  las",,
"trade_tariff_subheading_00028","0302.11.00.00","-  -  Truchas  (Salmo  trutta,  Oncorhynchus  mykiss,  Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster )","aran_008",
"trade_tariff_subheading_00029","0302.13.00.00","- -   Salmones   del   Pacífico   (Oncorhynchus   nerka,   Oncorhynchus gorbuscha,     Oncorhynchus     keta,     Oncorhynchus     tschawytscha, Oncorhynchus    kisutch,    Oncorhynchus    masou    y    Oncorhynchus rhodurus )","aran_008",
"trade_tariff_subheading_00030","0302.14.00.00","- -  Salmones  del  Atlántico  (Salmo  salar )  y  salmones  del  Danubio (Hucho hucho)","aran_008",
"trade_tariff_subheading_00031","0302.19.00.00","- - Los demás","aran_008",
"trade_tariff_subheading_00032","-","- Pescados planos (Pleuronéctidos, Bóthidae, Cynoglósidos, Soleidos, Escoftálmidos   y   Citáridos ),   excepto   los   despojos   comestibles   de pescado de las subpartidas 0302.91 a 0302.99:",,
"trade_tariff_subheading_00033","0302.21.00.00","-  -  Fletanes  (halibut)  (Reinhardtius  hippoglossoides,  Hippoglossus hippoglossus, Hippoglossus stenolepis )","aran_008",
"trade_tariff_subheading_00034","0302.22.00.00","- - Sollas (Pleuronectes platessa )","aran_008",
"trade_tariff_subheading_00035","0302.23.00.00","- - Lenguados (Solea spp .)","aran_008",
"trade_tariff_subheading_00036","0302.24.00.00","- - Rodaballos (turbots) (Psetta maxima )","aran_008",
"trade_tariff_subheading_00037","0302.29.00.00","- - Los demás","aran_008",
"trade_tariff_subheading_00038","-","-  Atunes  (del  género  Thunnus),  listados  o  bonitos  de  vientre  rayado (Euthynnus  [Katsuwonus]  pelamis ),  excepto  los  despojos  comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,
"trade_tariff_subheading_00039","0302.31.00.00","- - Albacoras o atunes blancos (Thunnus alalunga )","aran_008",
"trade_tariff_subheading_00040","0302.32.00.00","- - Atunes de aleta amarilla (rabiles) (Thunnus albacares )","aran_001",
"trade_tariff_subheading_00041","0302.33.00.00","- - Listados o bonitos de vientre rayado","aran_001",
"trade_tariff_subheading_00042","0302.34.00.00","- - Patudos o atunes ojo grande (Thunnus obesus )","aran_001",
"trade_tariff_subheading_00043","0302.35.00.00","-  -  Atunes  comunes  o  de  aleta  azul,  del  Atlántico  y  del  Pacífico
(Thunnus thynnus, Thunnus orientalis )","aran_008",
"trade_tariff_subheading_00044","0302.36.00.00","- - Atunes del sur (Thunnus maccoyii )","aran_008",
"trade_tariff_subheading_00045","0302.39.00.00","- - Los demás","aran_001",
"trade_tariff_subheading_00046","-","-  Arenques  (Clupea  harengus,  Clupea  pallasii ),  anchoas  (Engraulis spp.) ,    sardinas   (Sardina   pilchardus,   Sardinops   spp.) ,   sardinelas (Sardinella  spp. ),  espadines  (Sprattus  sprattus ),  caballas  (Scomber scombrus,  Scomber  australasicus,  Scomber  japonicus ),  caballas  de  la India   (Rastrelliger   spp. ),   carites   (Scomberomorus   spp. ),   jureles (Trachurus  spp. ),  pámpanos  (Caranx  spp. ),  cobias  (Rachycentron canadum ), palometones plateados (Pampus spp. ), papardas del Pacífico (Cololabis  saira ),  macarelas  (Decapterus  spp.) ,  capelanes  (Mallotus villosus ),    peces    espada    (Xiphias    gladius ),    bacoretas    orientales (Euthynnus affinis ), bonitos (Sarda spp .), agujas, marlines, peces vela o picudos (Istiophoridae ), excepto los despojos comestibles de pescado de las subpartidas 0303.91 a 0303.99:",,
"trade_tariff_subheading_00047","0302.41.00.00","- - Arenques (Clupea harengus, Clupea pallasii )","aran_008",
"trade_tariff_subheading_00048","0302.42.00.00","- - Anchoas (Engraulis spp .)","aran_008",
"trade_tariff_subheading_00049","0302.43.00.00","-   -   Sardinas   (Sardina   pilchardus,   Sardinops   spp. ),   sardinelas
(Sardinella spp .) y espadines (Sprattus sprattu s)","aran_001",
"trade_tariff_subheading_00050","0302.44.00.00","-  -  Caballas  (Scomber  scombrus,  Scomber  australasicus,  Scomber
japonicus )","aran_008",
"trade_tariff_subheading_00051","0302.45.00.00","- - Jureles (Trachurus spp .)","aran_008",
"trade_tariff_subheading_00052","0302.46.00.00","- - Cobias (Rachycentron canadum)","aran_008",
"trade_tariff_subheading_00053","0302.47.00.00","- - Peces espada (Xiphias gladius )","aran_008",
"trade_tariff_subheading_00054","0302.49.00.00","- - - Los demás","aran_008",
"trade_tariff_subheading_00055","-","- Pescados de las familias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae,        Melanonidae,        Merlucciidae,        Moridae        y Muraenolepididae,  excepto los despojos comestibles de pescado de las subpartidas 0302.91 a 0302.99:",,
